Agent,Reward_Mean,Reward_Std,Reward_CI_Low,Reward_CI_High,Savings_Mean,Savings_Std,CO2_Mean,CO2_Std
DQN,-12.933444415371396,1.681914287330951,-13.267172699362067,-12.599716131380724,1.1312157920779387,0.7084718304037533,1.8876636062182535,1.0989487749475155
SARSA,-10.876680677852553,0.7922029786033126,-11.03387093577059,-10.719490419934516,2.1941166686763554,0.26724589312176267,3.335768374418967,0.4114895017031014
Greedy,-14.47711425033303,0.8474555906769704,-14.645267825200234,-14.308960675465825,0.5511282089116005,0.4804363375517156,0.4483598532260957,0.6981594584562639
EcoGreedy,-14.156387784998724,0.8831464611776083,-14.331623202892075,-13.981152367105373,0.7603626544651547,0.47660187793783443,0.5425132195273505,0.7585368637841247
Threshold,-12.980003530838458,0.7231075162735715,-13.123483749993794,-12.836523311683122,1.2744049755242235,0.3657056152506677,1.4497497746960155,0.627411797138305
Random,-21.912052018559358,1.8752765371065303,-22.284147567928684,-21.53995646919003,-2.4273022925282017,0.8919593163349141,-4.174985591418105,1.4782750097557027
Idle,-14.824258371180285,0.5086095887768126,-14.925177547955366,-14.723339194405204,0.0,0.0,0.0,0.0
